1, none, minecraft:the_void, MONSTER, mna:lantern_wraith, 10, 1, 3
59, plains, minecraft:sunflower_plains, MONSTER, mna:pixie, 16, 1, 3
60, plains, minecraft:sunflower_plains, MONSTER, mna:hulking_zombie, 16, 1, 3
61, plains, minecraft:sunflower_plains, MONSTER, mna:mushroom_soldier, 16, 1, 3
62, plains, minecraft:sunflower_plains, MONSTER, mna:spell_breaker, 16, 1, 3
63, plains, minecraft:sunflower_plains, MONSTER, mna:skeleton_assassin, 16, 1, 3
64, plains, minecraft:sunflower_plains, MONSTER, player_mobs:player_mob, 50, 1, 4
65, plains, minecraft:sunflower_plains, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
66, plains, minecraft:sunflower_plains, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
67, plains, minecraft:sunflower_plains, MONSTER, quark:stoneling, 50, 1, 1
68, plains, minecraft:sunflower_plains, MONSTER, quark:toretoise, 50, 2, 4
69, plains, minecraft:sunflower_plains, CREATURE, minecraft:sheep, 12, 4, 4
70, plains, minecraft:sunflower_plains, CREATURE, minecraft:pig, 10, 4, 4
71, plains, minecraft:sunflower_plains, CREATURE, minecraft:chicken, 10, 4, 4
72, plains, minecraft:sunflower_plains, CREATURE, minecraft:cow, 10, 4, 4
73, plains, minecraft:sunflower_plains, CREATURE, minecraft:horse, 10, 2, 6
74, plains, minecraft:sunflower_plains, CREATURE, minecraft:donkey, 10, 1, 3
75, plains, minecraft:sunflower_plains, CREATURE, elwms:elwms, 10, 2, 3
76, plains, minecraft:sunflower_plains, CREATURE, ars_nouveau:starbuncle, 10, 1, 1
77, plains, minecraft:sunflower_plains, CREATURE, ars_nouveau:whirlisprig, 10, 1, 1
78, plains, minecraft:sunflower_plains, CREATURE, ars_nouveau:drygmy, 10, 1, 1
79, plains, minecraft:sunflower_plains, AMBIENT, minecraft:bat, 10, 8, 8
80, plains, minecraft:sunflower_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
81, icy, minecraft:snowy_plains, MONSTER, minecraft:spider, 50, 4, 4
82, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie, 50, 4, 4
83, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
84, icy, minecraft:snowy_plains, MONSTER, minecraft:skeleton, 20, 4, 4
85, icy, minecraft:snowy_plains, MONSTER, minecraft:slime, 50, 4, 4
86, icy, minecraft:snowy_plains, MONSTER, minecraft:enderman, 5, 1, 4
87, icy, minecraft:snowy_plains, MONSTER, minecraft:witch, 5, 1, 1
88, icy, minecraft:snowy_plains, MONSTER, minecraft:stray, 50, 4, 4
89, icy, minecraft:snowy_plains, MONSTER, vampirism:vampire, 50, 1, 3
90, icy, minecraft:snowy_plains, MONSTER, vampirism:advanced_vampire, 26, 1, 1
91, icy, minecraft:snowy_plains, MONSTER, creeperoverhaul:snowy_creeper, 50, 2, 2
92, icy, minecraft:snowy_plains, MONSTER, creeperoverhaul:cave_creeper, 50, 2, 2
93, icy, minecraft:snowy_plains, MONSTER, graveyard:ghoul, 25, 2, 5
94, icy, minecraft:snowy_plains, MONSTER, graveyard:revenant, 25, 5, 8
95, icy, minecraft:snowy_plains, MONSTER, graveyard:reaper, 10, 2, 3
96, icy, minecraft:snowy_plains, MONSTER, graveyard:nightmare, 10, 1, 1
97, icy, minecraft:snowy_plains, MONSTER, graveyard:skeleton_creeper, 20, 1, 4
98, icy, minecraft:snowy_plains, MONSTER, graveyard:acolyte, 10, 2, 3
99, icy, minecraft:snowy_plains, MONSTER, mna:witch_hunter, 16, 1, 3
100, icy, minecraft:snowy_plains, MONSTER, mna:pixie, 16, 1, 3
101, icy, minecraft:snowy_plains, MONSTER, mna:hulking_zombie, 16, 1, 3
102, icy, minecraft:snowy_plains, MONSTER, mna:mushroom_soldier, 16, 1, 3
103, icy, minecraft:snowy_plains, MONSTER, mna:spell_breaker, 16, 1, 3
104, icy, minecraft:snowy_plains, MONSTER, mna:skeleton_assassin, 16, 1, 3
105, icy, minecraft:snowy_plains, MONSTER, player_mobs:player_mob, 50, 1, 4
106, icy, minecraft:snowy_plains, MONSTER, ars_nouveau:wilden_guardian, 50, 1, 1
107, icy, minecraft:snowy_plains, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
108, icy, minecraft:snowy_plains, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
109, icy, minecraft:snowy_plains, MONSTER, quark:stoneling, 50, 1, 1
110, icy, minecraft:snowy_plains, MONSTER, quark:toretoise, 50, 2, 4
111, icy, minecraft:snowy_plains, CREATURE, minecraft:rabbit, 10, 2, 3
112, icy, minecraft:snowy_plains, CREATURE, minecraft:polar_bear, 10, 1, 2
113, icy, minecraft:snowy_plains, CREATURE, snuffles:snuffle, 10, 4, 4
114, icy, minecraft:snowy_plains, CREATURE, ars_nouveau:drygmy, 10, 1, 1
115, icy, minecraft:snowy_plains, AMBIENT, minecraft:bat, 10, 8, 8
116, icy, minecraft:snowy_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
117, icy, minecraft:ice_spikes, MONSTER, minecraft:spider, 50, 4, 4
118, icy, minecraft:ice_spikes, MONSTER, minecraft:zombie, 50, 4, 4
119, icy, minecraft:ice_spikes, MONSTER, minecraft:zombie_villager, 10, 1, 1
120, icy, minecraft:ice_spikes, MONSTER, minecraft:skeleton, 20, 4, 4
121, icy, minecraft:ice_spikes, MONSTER, minecraft:slime, 50, 4, 4
122, icy, minecraft:ice_spikes, MONSTER, minecraft:enderman, 5, 1, 4
123, icy, minecraft:ice_spikes, MONSTER, minecraft:witch, 5, 1, 1
124, icy, minecraft:ice_spikes, MONSTER, minecraft:stray, 50, 4, 4
125, icy, minecraft:ice_spikes, MONSTER, vampirism:vampire, 50, 1, 3
126, icy, minecraft:ice_spikes, MONSTER, vampirism:advanced_vampire, 26, 1, 1
127, icy, minecraft:ice_spikes, MONSTER, creeperoverhaul:snowy_creeper, 50, 2, 2
128, icy, minecraft:ice_spikes, MONSTER, creeperoverhaul:cave_creeper, 50, 2, 2
129, icy, minecraft:ice_spikes, MONSTER, graveyard:ghoul, 25, 2, 5
130, icy, minecraft:ice_spikes, MONSTER, graveyard:revenant, 25, 5, 8
131, icy, minecraft:ice_spikes, MONSTER, graveyard:reaper, 10, 2, 3
132, icy, minecraft:ice_spikes, MONSTER, graveyard:nightmare, 10, 1, 1
133, icy, minecraft:ice_spikes, MONSTER, graveyard:skeleton_creeper, 20, 1, 4
134, icy, minecraft:ice_spikes, MONSTER, graveyard:acolyte, 10, 2, 3
135, icy, minecraft:ice_spikes, MONSTER, mna:witch_hunter, 16, 1, 3
136, icy, minecraft:ice_spikes, MONSTER, mna:pixie, 16, 1, 3
137, icy, minecraft:ice_spikes, MONSTER, mna:hulking_zombie, 16, 1, 3
138, icy, minecraft:ice_spikes, MONSTER, mna:mushroom_soldier, 16, 1, 3
139, icy, minecraft:ice_spikes, MONSTER, mna:spell_breaker, 16, 1, 3
140, icy, minecraft:ice_spikes, MONSTER, mna:skeleton_assassin, 16, 1, 3
141, icy, minecraft:ice_spikes, MONSTER, player_mobs:player_mob, 50, 1, 4
142, icy, minecraft:ice_spikes, MONSTER, ars_nouveau:wilden_guardian, 50, 1, 1
143, icy, minecraft:ice_spikes, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
144, icy, minecraft:ice_spikes, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
145, icy, minecraft:ice_spikes, MONSTER, quark:stoneling, 50, 1, 1
146, icy, minecraft:ice_spikes, MONSTER, quark:toretoise, 50, 2, 4
147, icy, minecraft:ice_spikes, CREATURE, minecraft:rabbit, 10, 2, 3
148, icy, minecraft:ice_spikes, CREATURE, minecraft:polar_bear, 10, 1, 2
149, icy, minecraft:ice_spikes, CREATURE, snuffles:snuffle, 10, 4, 4
150, icy, minecraft:ice_spikes, CREATURE, ars_nouveau:drygmy, 10, 1, 1
151, icy, minecraft:ice_spikes, AMBIENT, minecraft:bat, 10, 8, 8
152, icy, minecraft:ice_spikes, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
153, desert, minecraft:desert, MONSTER, minecraft:spider, 50, 4, 4
154, desert, minecraft:desert, MONSTER, minecraft:zombie, 19, 4, 4
155, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 10, 1, 1
156, desert, minecraft:desert, MONSTER, minecraft:skeleton, 50, 4, 4
157, desert, minecraft:desert, MONSTER, minecraft:slime, 50, 4, 4
158, desert, minecraft:desert, MONSTER, minecraft:enderman, 5, 1, 4
159, desert, minecraft:desert, MONSTER, minecraft:witch, 5, 1, 1
160, desert, minecraft:desert, MONSTER, minecraft:husk, 50, 4, 4
161, desert, minecraft:desert, MONSTER, vampirism:vampire, 50, 1, 3
162, desert, minecraft:desert, MONSTER, vampirism:advanced_vampire, 26, 1, 1
163, desert, minecraft:desert, MONSTER, creeperoverhaul:desert_creeper, 50, 2, 2
164, desert, minecraft:desert, MONSTER, creeperoverhaul:cave_creeper, 50, 2, 2
165, desert, minecraft:desert, MONSTER, graveyard:ghoul, 25, 2, 5
166, desert, minecraft:desert, MONSTER, graveyard:revenant, 25, 5, 8
167, desert, minecraft:desert, MONSTER, graveyard:reaper, 10, 2, 3
168, desert, minecraft:desert, MONSTER, graveyard:nightmare, 10, 1, 1
169, desert, minecraft:desert, MONSTER, graveyard:skeleton_creeper, 20, 1, 4
170, desert, minecraft:desert, MONSTER, graveyard:acolyte, 10, 2, 3
171, desert, minecraft:desert, MONSTER, mna:witch_hunter, 16, 1, 3
172, desert, minecraft:desert, MONSTER, mna:pixie, 16, 1, 3
173, desert, minecraft:desert, MONSTER, mna:hulking_zombie, 16, 1, 3
174, desert, minecraft:desert, MONSTER, mna:mushroom_soldier, 16, 1, 3
175, desert, minecraft:desert, MONSTER, mna:spell_breaker, 16, 1, 3
176, desert, minecraft:desert, MONSTER, mna:skeleton_assassin, 16, 1, 3
177, desert, minecraft:desert, MONSTER, player_mobs:player_mob, 50, 1, 4
178, desert, minecraft:desert, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
179, desert, minecraft:desert, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
180, desert, minecraft:desert, MONSTER, quark:stoneling, 50, 1, 1
181, desert, minecraft:desert, MONSTER, quark:toretoise, 50, 2, 4
182, desert, minecraft:desert, CREATURE, minecraft:rabbit, 10, 2, 3
183, desert, minecraft:desert, CREATURE, ars_nouveau:drygmy, 10, 1, 1
184, desert, minecraft:desert, AMBIENT, minecraft:bat, 10, 8, 8
185, desert, minecraft:desert, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
186, swamp, minecraft:swamp, MONSTER, minecraft:spider, 50, 4, 4
187, swamp, minecraft:swamp, MONSTER, minecraft:zombie, 50, 4, 4
188, swamp, minecraft:swamp, MONSTER, minecraft:zombie_villager, 10, 1, 1
189, swamp, minecraft:swamp, MONSTER, minecraft:skeleton, 50, 4, 4
190, swamp, minecraft:swamp, MONSTER, minecraft:slime, 50, 4, 4
191, swamp, minecraft:swamp, MONSTER, minecraft:enderman, 5, 1, 4
192, swamp, minecraft:swamp, MONSTER, minecraft:witch, 5, 1, 1
193, swamp, minecraft:swamp, MONSTER, minecraft:slime, 10, 1, 1
194, swamp, minecraft:swamp, MONSTER, vampirism:vampire, 50, 1, 3
195, swamp, minecraft:swamp, MONSTER, vampirism:advanced_vampire, 26, 1, 1
196, swamp, minecraft:swamp, MONSTER, creeperoverhaul:swamp_creeper, 50, 2, 2
197, swamp, minecraft:swamp, MONSTER, creeperoverhaul:cave_creeper, 50, 2, 2
198, swamp, minecraft:swamp, MONSTER, graveyard:ghoul, 25, 2, 5
199, swamp, minecraft:swamp, MONSTER, graveyard:revenant, 25, 5, 8
200, swamp, minecraft:swamp, MONSTER, graveyard:reaper, 10, 2, 3
201, swamp, minecraft:swamp, MONSTER, graveyard:nightmare, 10, 1, 1
202, swamp, minecraft:swamp, MONSTER, graveyard:skeleton_creeper, 20, 1, 4
203, swamp, minecraft:swamp, MONSTER, graveyard:acolyte, 10, 2, 3
204, swamp, minecraft:swamp, MONSTER, mna:witch_hunter, 16, 1, 3
205, swamp, minecraft:swamp, MONSTER, mna:pixie, 16, 1, 3
206, swamp, minecraft:swamp, MONSTER, mna:hulking_zombie, 16, 1, 3
207, swamp, minecraft:swamp, MONSTER, mna:mushroom_soldier, 16, 1, 3
208, swamp, minecraft:swamp, MONSTER, mna:spell_breaker, 16, 1, 3
209, swamp, minecraft:swamp, MONSTER, mna:skeleton_assassin, 16, 1, 3
210, swamp, minecraft:swamp, MONSTER, player_mobs:player_mob, 50, 1, 4
211, swamp, minecraft:swamp, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
212, swamp, minecraft:swamp, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
213, swamp, minecraft:swamp, MONSTER, quark:stoneling, 50, 1, 1
214, swamp, minecraft:swamp, MONSTER, quark:toretoise, 50, 2, 4
215, swamp, minecraft:swamp, CREATURE, minecraft:sheep, 12, 4, 4
216, swamp, minecraft:swamp, CREATURE, minecraft:pig, 10, 4, 4
217, swamp, minecraft:swamp, CREATURE, minecraft:chicken, 10, 4, 4
218, swamp, minecraft:swamp, CREATURE, minecraft:cow, 10, 4, 4
219, swamp, minecraft:swamp, CREATURE, ars_nouveau:starbuncle, 10, 1, 1
220, swamp, minecraft:swamp, CREATURE, ars_nouveau:whirlisprig, 10, 1, 1
221, swamp, minecraft:swamp, CREATURE, ars_nouveau:drygmy, 10, 1, 1
222, swamp, minecraft:swamp, CREATURE, quark:frog, 40, 1, 3
223, swamp, minecraft:swamp, AMBIENT, minecraft:bat, 10, 8, 8
224, swamp, minecraft:swamp, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
225, forest, minecraft:forest, MONSTER, minecraft:spider, 50, 4, 4
226, forest, minecraft:forest, MONSTER, minecraft:zombie, 50, 4, 4
227, forest, minecraft:forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
228, forest, minecraft:forest, MONSTER, minecraft:skeleton, 50, 4, 4
229, forest, minecraft:forest, MONSTER, minecraft:creeper, 50, 4, 4
230, forest, minecraft:forest, MONSTER, minecraft:slime, 50, 4, 4
231, forest, minecraft:forest, MONSTER, minecraft:enderman, 5, 1, 4
232, forest, minecraft:forest, MONSTER, minecraft:witch, 5, 1, 1
233, forest, minecraft:forest, MONSTER, vampirism:vampire, 50, 1, 3
234, forest, minecraft:forest, MONSTER, vampirism:advanced_vampire, 26, 1, 1
235, forest, minecraft:forest, MONSTER, graveyard:ghoul, 25, 2, 5
236, forest, minecraft:forest, MONSTER, graveyard:revenant, 25, 5, 8
237, forest, minecraft:forest, MONSTER, graveyard:reaper, 10, 2, 3
238, forest, minecraft:forest, MONSTER, graveyard:nightmare, 10, 1, 1
239, forest, minecraft:forest, MONSTER, graveyard:skeleton_creeper, 20, 1, 4
240, forest, minecraft:forest, MONSTER, graveyard:acolyte, 10, 2, 3
241, forest, minecraft:forest, MONSTER, mna:witch_hunter, 16, 1, 3
242, forest, minecraft:forest, MONSTER, mna:pixie, 16, 1, 3
243, forest, minecraft:forest, MONSTER, mna:hulking_zombie, 16, 1, 3
244, forest, minecraft:forest, MONSTER, mna:mushroom_soldier, 16, 1, 3
245, forest, minecraft:forest, MONSTER, mna:spell_breaker, 16, 1, 3
246, forest, minecraft:forest, MONSTER, mna:skeleton_assassin, 16, 1, 3
247, forest, minecraft:forest, MONSTER, player_mobs:player_mob, 50, 1, 4
248, forest, minecraft:forest, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
249, forest, minecraft:forest, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
250, forest, minecraft:forest, MONSTER, quark:stoneling, 50, 1, 1
251, forest, minecraft:forest, MONSTER, quark:toretoise, 50, 2, 4
252, forest, minecraft:forest, CREATURE, minecraft:sheep, 12, 4, 4
253, forest, minecraft:forest, CREATURE, minecraft:pig, 10, 4, 4
254, forest, minecraft:forest, CREATURE, minecraft:chicken, 10, 4, 4
255, forest, minecraft:forest, CREATURE, minecraft:cow, 10, 4, 4
256, forest, minecraft:forest, CREATURE, minecraft:wolf, 10, 4, 4
257, forest, minecraft:forest, CREATURE, ars_nouveau:starbuncle, 10, 1, 1
258, forest, minecraft:forest, CREATURE, ars_nouveau:whirlisprig, 10, 1, 1
259, forest, minecraft:forest, CREATURE, ars_nouveau:drygmy, 10, 1, 1
260, forest, minecraft:forest, AMBIENT, minecraft:bat, 10, 8, 8
261, forest, minecraft:forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
262, forest, minecraft:flower_forest, MONSTER, minecraft:spider, 50, 4, 4
263, forest, minecraft:flower_forest, MONSTER, minecraft:zombie, 50, 4, 4
264, forest, minecraft:flower_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
265, forest, minecraft:flower_forest, MONSTER, minecraft:skeleton, 50, 4, 4
266, forest, minecraft:flower_forest, MONSTER, minecraft:creeper, 50, 4, 4
267, forest, minecraft:flower_forest, MONSTER, minecraft:slime, 50, 4, 4
268, forest, minecraft:flower_forest, MONSTER, minecraft:enderman, 5, 1, 4
269, forest, minecraft:flower_forest, MONSTER, minecraft:witch, 5, 1, 1
270, forest, minecraft:flower_forest, MONSTER, vampirism:vampire, 50, 1, 3
271, forest, minecraft:flower_forest, MONSTER, vampirism:advanced_vampire, 26, 1, 1
272, forest, minecraft:flower_forest, MONSTER, mna:witch_hunter, 16, 1, 3
273, forest, minecraft:flower_forest, MONSTER, mna:pixie, 16, 1, 3
274, forest, minecraft:flower_forest, MONSTER, mna:hulking_zombie, 16, 1, 3
275, forest, minecraft:flower_forest, MONSTER, mna:mushroom_soldier, 16, 1, 3
276, forest, minecraft:flower_forest, MONSTER, mna:spell_breaker, 16, 1, 3
277, forest, minecraft:flower_forest, MONSTER, mna:skeleton_assassin, 16, 1, 3
278, forest, minecraft:flower_forest, MONSTER, player_mobs:player_mob, 50, 1, 4
279, forest, minecraft:flower_forest, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
280, forest, minecraft:flower_forest, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
281, forest, minecraft:flower_forest, MONSTER, quark:stoneling, 50, 1, 1
282, forest, minecraft:flower_forest, MONSTER, quark:toretoise, 50, 2, 4
283, forest, minecraft:flower_forest, CREATURE, minecraft:sheep, 12, 4, 4
284, forest, minecraft:flower_forest, CREATURE, minecraft:pig, 10, 4, 4
285, forest, minecraft:flower_forest, CREATURE, minecraft:chicken, 10, 4, 4
286, forest, minecraft:flower_forest, CREATURE, minecraft:cow, 10, 4, 4
287, forest, minecraft:flower_forest, CREATURE, minecraft:rabbit, 10, 2, 3
288, forest, minecraft:flower_forest, CREATURE, ars_nouveau:starbuncle, 10, 1, 1
289, forest, minecraft:flower_forest, CREATURE, ars_nouveau:whirlisprig, 10, 1, 1
290, forest, minecraft:flower_forest, CREATURE, ars_nouveau:drygmy, 10, 1, 1
291, forest, minecraft:flower_forest, AMBIENT, minecraft:bat, 10, 8, 8
292, forest, minecraft:flower_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
293, forest, minecraft:birch_forest, MONSTER, minecraft:spider, 50, 4, 4
294, forest, minecraft:birch_forest, MONSTER, minecraft:zombie, 50, 4, 4
295, forest, minecraft:birch_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
296, forest, minecraft:birch_forest, MONSTER, minecraft:skeleton, 50, 4, 4
297, forest, minecraft:birch_forest, MONSTER, minecraft:creeper, 50, 4, 4
298, forest, minecraft:birch_forest, MONSTER, minecraft:slime, 50, 4, 4
299, forest, minecraft:birch_forest, MONSTER, minecraft:enderman, 5, 1, 4
300, forest, minecraft:birch_forest, MONSTER, minecraft:witch, 5, 1, 1
301, forest, minecraft:birch_forest, MONSTER, vampirism:vampire, 50, 1, 3
302, forest, minecraft:birch_forest, MONSTER, vampirism:advanced_vampire, 26, 1, 1
303, forest, minecraft:birch_forest, MONSTER, graveyard:ghoul, 25, 2, 5
304, forest, minecraft:birch_forest, MONSTER, graveyard:revenant, 25, 5, 8
305, forest, minecraft:birch_forest, MONSTER, graveyard:reaper, 10, 2, 3
306, forest, minecraft:birch_forest, MONSTER, graveyard:nightmare, 10, 1, 1
307, forest, minecraft:birch_forest, MONSTER, graveyard:skeleton_creeper, 20, 1, 4
308, forest, minecraft:birch_forest, MONSTER, graveyard:acolyte, 10, 2, 3
309, forest, minecraft:birch_forest, MONSTER, mna:witch_hunter, 16, 1, 3
310, forest, minecraft:birch_forest, MONSTER, mna:pixie, 16, 1, 3
311, forest, minecraft:birch_forest, MONSTER, mna:hulking_zombie, 16, 1, 3
312, forest, minecraft:birch_forest, MONSTER, mna:mushroom_soldier, 16, 1, 3
313, forest, minecraft:birch_forest, MONSTER, mna:spell_breaker, 16, 1, 3
314, forest, minecraft:birch_forest, MONSTER, mna:skeleton_assassin, 16, 1, 3
315, forest, minecraft:birch_forest, MONSTER, player_mobs:player_mob, 50, 1, 4
316, forest, minecraft:birch_forest, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
317, forest, minecraft:birch_forest, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
318, forest, minecraft:birch_forest, MONSTER, quark:stoneling, 50, 1, 1
319, forest, minecraft:birch_forest, MONSTER, quark:toretoise, 50, 2, 4
320, forest, minecraft:birch_forest, CREATURE, minecraft:sheep, 12, 4, 4
321, forest, minecraft:birch_forest, CREATURE, minecraft:pig, 10, 4, 4
322, forest, minecraft:birch_forest, CREATURE, minecraft:chicken, 10, 4, 4
323, forest, minecraft:birch_forest, CREATURE, minecraft:cow, 10, 4, 4
324, forest, minecraft:birch_forest, CREATURE, ars_nouveau:starbuncle, 10, 1, 1
325, forest, minecraft:birch_forest, CREATURE, ars_nouveau:whirlisprig, 10, 1, 1
326, forest, minecraft:birch_forest, CREATURE, ars_nouveau:drygmy, 10, 1, 1
327, forest, minecraft:birch_forest, AMBIENT, minecraft:bat, 10, 8, 8
328, forest, minecraft:birch_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
329, forest, minecraft:dark_forest, MONSTER, minecraft:spider, 50, 4, 4
330, forest, minecraft:dark_forest, MONSTER, minecraft:zombie, 50, 4, 4
331, forest, minecraft:dark_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
332, forest, minecraft:dark_forest, MONSTER, minecraft:skeleton, 50, 4, 4
333, forest, minecraft:dark_forest, MONSTER, minecraft:slime, 50, 4, 4
334, forest, minecraft:dark_forest, MONSTER, minecraft:enderman, 5, 1, 4
335, forest, minecraft:dark_forest, MONSTER, minecraft:witch, 5, 1, 1
336, forest, minecraft:dark_forest, MONSTER, vampirism:vampire, 50, 1, 3
337, forest, minecraft:dark_forest, MONSTER, vampirism:advanced_vampire, 26, 1, 1
338, forest, minecraft:dark_forest, MONSTER, creeperoverhaul:dark_oak_creeper, 50, 2, 2
