1, minecraft:swamp_hut, HEADING, header:ignore, 0, 0, 0
79, repurposed_structures:shipwreck_crimson, HEADING, header:ignore, 0, 0, 0
80, repurposed_structures:shipwreck_warped, HEADING, header:ignore, 0, 0, 0
81, repurposed_structures:village_badlands, HEADING, header:ignore, 0, 0, 0
82, repurposed_structures:village_birch, HEADING, header:ignore, 0, 0, 0
83, repurposed_structures:village_dark_oak, HEADING, header:ignore, 0, 0, 0
84, repurposed_structures:village_jungle, HEADING, header:ignore, 0, 0, 0
85, repurposed_structures:village_swamp, HEADING, header:ignore, 0, 0, 0
86, repurposed_structures:village_mountains, HEADING, header:ignore, 0, 0, 0
87, repurposed_structures:village_giant_taiga, HEADING, header:ignore, 0, 0, 0
88, repurposed_structures:village_oak, HEADING, header:ignore, 0, 0, 0
89, repurposed_structures:village_crimson, HEADING, header:ignore, 0, 0, 0
90, repurposed_structures:village_warped, HEADING, header:ignore, 0, 0, 0
91, repurposed_structures:village_mushroom, HEADING, header:ignore, 0, 0, 0
92, repurposed_structures:ruined_portal_end, HEADING, header:ignore, 0, 0, 0
93, repurposed_structures:ruins_nether, HEADING, header:ignore, 0, 0, 0
94, repurposed_structures:ruins_land_warm, HEADING, header:ignore, 0, 0, 0
95, repurposed_structures:ruins_land_hot, HEADING, header:ignore, 0, 0, 0
96, repurposed_structures:ruins_land_cold, HEADING, header:ignore, 0, 0, 0
97, repurposed_structures:ruins_land_icy, HEADING, header:ignore, 0, 0, 0
98, repurposed_structures:city_nether, HEADING, header:ignore, 0, 0, 0
99, repurposed_structures:city_overworld, HEADING, header:ignore, 0, 0, 0
100, repurposed_structures:mansion_birch, HEADING, header:ignore, 0, 0, 0
101, repurposed_structures:mansion_jungle, HEADING, header:ignore, 0, 0, 0
102, repurposed_structures:mansion_oak, HEADING, header:ignore, 0, 0, 0
103, repurposed_structures:mansion_savanna, HEADING, header:ignore, 0, 0, 0
104, repurposed_structures:mansion_taiga, HEADING, header:ignore, 0, 0, 0
105, repurposed_structures:mansion_desert, HEADING, header:ignore, 0, 0, 0
106, repurposed_structures:mansion_snowy, HEADING, header:ignore, 0, 0, 0
107, repurposed_structures:witch_hut_oak, HEADING, header:ignore, 0, 0, 0
108, repurposed_structures:witch_hut_taiga, HEADING, header:ignore, 0, 0, 0
109, repurposed_structures:witch_hut_birch, HEADING, header:ignore, 0, 0, 0
110, repurposed_structures:witch_hut_dark_forest, HEADING, header:ignore, 0, 0, 0
111, repurposed_structures:witch_hut_giant_tree_taiga, HEADING, header:ignore, 0, 0, 0
112, repurposed_structures:bastion_underground, HEADING, header:ignore, 0, 0, 0
113, graveyard:small_graveyard_structure, HEADING, header:ignore, 0, 0, 0
114, graveyard:small_desert_graveyard_structure, HEADING, header:ignore, 0, 0, 0
115, graveyard:small_desert_graveyard_structure, MONSTER, minecraft:pillager, 10, 1, 1
116, graveyard:small_desert_graveyard_structure, MONSTER, minecraft:vindicator, 10, 1, 1
117, graveyard:small_grave_structure, HEADING, header:ignore, 0, 0, 0
118, graveyard:small_desert_grave_structure, HEADING, header:ignore, 0, 0, 0
119, graveyard:small_savanna_grave_structure, HEADING, header:ignore, 0, 0, 0
120, graveyard:small_mountain_grave_structure, HEADING, header:ignore, 0, 0, 0
121, graveyard:mushroom_grave_structure, HEADING, header:ignore, 0, 0, 0
122, graveyard:memorial_tree_structure, HEADING, header:ignore, 0, 0, 0
123, graveyard:medium_graveyard_structure, HEADING, header:ignore, 0, 0, 0
124, graveyard:medium_graveyard_structure, MONSTER, graveyard:skeleton_creeper, 25, 1, 2
125, graveyard:medium_graveyard_structure, MONSTER, graveyard:ghoul, 25, 1, 3
126, graveyard:large_graveyard_structure, HEADING, header:ignore, 0, 0, 0
127, graveyard:large_graveyard_structure, MONSTER, graveyard:skeleton_creeper, 25, 1, 2
128, graveyard:large_graveyard_structure, MONSTER, graveyard:ghoul, 25, 1, 3
129, graveyard:haunted_house_structure, HEADING, header:ignore, 0, 0, 0
130, dungeons_arise:monastery, HEADING, header:ignore, 0, 0, 0
131, dungeons_arise:illager_campsite, HEADING, header:ignore, 0, 0, 0
132, dungeons_arise:abandoned_temple, HEADING, header:ignore, 0, 0, 0
133, dungeons_arise:lighthouse, HEADING, header:ignore, 0, 0, 0
134, dungeons_arise:mushroom_village, HEADING, header:ignore, 0, 0, 0
135, dungeons_arise:small_prairie_house, HEADING, header:ignore, 0, 0, 0
136, dungeons_arise:fishing_hut, HEADING, header:ignore, 0, 0, 0
137, dungeons_arise:mushroom_mines, HEADING, header:ignore, 0, 0, 0
138, dungeons_arise:coliseum, HEADING, header:ignore, 0, 0, 0
139, dungeons_arise:merchant_campsite, HEADING, header:ignore, 0, 0, 0
140, dungeons_arise:wishing_well, HEADING, header:ignore, 0, 0, 0
141, dungeons_arise:illager_fort, HEADING, header:ignore, 0, 0, 0
142, dungeons_arise:infested_temple, HEADING, header:ignore, 0, 0, 0
143, dungeons_arise:heavenly_rider, HEADING, header:ignore, 0, 0, 0
144, dungeons_arise:mining_system, HEADING, header:ignore, 0, 0, 0
145, dungeons_arise:heavenly_conqueror, HEADING, header:ignore, 0, 0, 0
146, dungeons_arise:scorched_mines, HEADING, header:ignore, 0, 0, 0
147, dungeons_arise:undead_pirate_ship, HEADING, header:ignore, 0, 0, 0
148, dungeons_arise:foundry, HEADING, header:ignore, 0, 0, 0
149, dungeons_arise:small_blimp, HEADING, header:ignore, 0, 0, 0
150, dungeons_arise:bandit_village, HEADING, header:ignore, 0, 0, 0
151, dungeons_arise:typhon, HEADING, header:ignore, 0, 0, 0
152, dungeons_arise:ceryneian_hind, HEADING, header:ignore, 0, 0, 0
153, dungeons_arise:heavenly_challenger, HEADING, header:ignore, 0, 0, 0
154, dungeons_arise:illager_corsair, HEADING, header:ignore, 0, 0, 0
155, dungeons_arise:illager_galley, HEADING, header:ignore, 0, 0, 0
156, dungeons_arise:mushroom_house, HEADING, header:ignore, 0, 0, 0
157, dungeons_arise:giant_mushroom, HEADING, header:ignore, 0, 0, 0
158, dungeons_arise:shiraz_palace, HEADING, header:ignore, 0, 0, 0
159, dungeons_arise:plague_asylum, HEADING, header:ignore, 0, 0, 0
160, dungeons_arise:bandit_towers, HEADING, header:ignore, 0, 0, 0
161, dungeons_arise:thornborn_towers, HEADING, header:ignore, 0, 0, 0
162, dungeons_arise:jungle_tree_house, HEADING, header:ignore, 0, 0, 0
163, dungeons_arise:aviary, HEADING, header:ignore, 0, 0, 0
164, dungeons_arise:illager_windmill, HEADING, header:ignore, 0, 0, 0
165, ae2:meteorite, HEADING, header:ignore, 0, 0, 0
166, mna:council_library, HEADING, header:ignore, 0, 0, 0
167, mna:demon_fortress, HEADING, header:ignore, 0, 0, 0
168, mna:fairy_glade, HEADING, header:ignore, 0, 0, 0
169, mna:lonely_tower, HEADING, header:ignore, 0, 0, 0
170, mna:potion_hut, HEADING, header:ignore, 0, 0, 0
171, mna:ritual_circle_desert, HEADING, header:ignore, 0, 0, 0
172, mna:ritual_circle_forest, HEADING, header:ignore, 0, 0, 0
173, mna:ritual_circle_tundra, HEADING, header:ignore, 0, 0, 0
174, mna:respawn_altar, HEADING, header:ignore, 0, 0, 0
175, mna:undead_crypt, HEADING, header:ignore, 0, 0, 0
176, mna:winter_tower, HEADING, header:ignore, 0, 0, 0
177, mna:wistful_runesmith, HEADING, header:ignore, 0, 0, 0
178, mna:wraith_nest, HEADING, header:ignore, 0, 0, 0
179, vampirism:hunter_camp, HEADING, header:ignore, 0, 0, 0
180, hexerei:witch_hut, HEADING, header:ignore, 0, 0, 0
181, hexerei:witch_hut, MONSTER, minecraft:witch, 50, 4, 9
182, hexerei:witch_hut, CREATURE, minecraft:cat, 50, 1, 2
183, hexerei:dark_coven, HEADING, header:ignore, 0, 0, 0
184, blue_skies:frozen_bunker, HEADING, header:ignore, 0, 0, 0
185, blue_skies:everbright_blinding_dungeon, HEADING, header:ignore, 0, 0, 0
186, blue_skies:everdawn_blinding_dungeon, HEADING, header:ignore, 0, 0, 0
187, blue_skies:nature_dungeon, HEADING, header:ignore, 0, 0, 0
188, blue_skies:nature_dungeon, MONSTER, blue_skies:stonelet, 20, 1, 1
189, blue_skies:nature_dungeon, MONSTER, blue_skies:spewter, 20, 1, 1
190, blue_skies:poison_dungeon, HEADING, header:ignore, 0, 0, 0
191, blue_skies:poison_dungeon, MONSTER, minecraft:cave_spider, 10, 1, 1
192, blue_skies:poison_dungeon, MONSTER, blue_skies:venom_spider, 30, 1, 1
193, blue_skies:gatekeeper_house, HEADING, header:ignore, 0, 0, 0
194, blue_skies:village, HEADING, header:ignore, 0, 0, 0
195, dungeoncrawl:dungeon, HEADING, header:ignore, 0, 0, 0
196, supplementaries:way_sign, HEADING, header:ignore, 0, 0, 0
197, quark:mega_dungeon, HEADING, header:ignore, 0, 0, 0
198, valhelsia_structures:castle, HEADING, header:ignore, 0, 0, 0
199, valhelsia_structures:castle_ruin, HEADING, header:ignore, 0, 0, 0
200, valhelsia_structures:desert_house, HEADING, header:ignore, 0, 0, 0
201, valhelsia_structures:forge, HEADING, header:ignore, 0, 0, 0
202, valhelsia_structures:player_house, HEADING, header:ignore, 0, 0, 0
203, valhelsia_structures:spawner_dungeon, HEADING, header:ignore, 0, 0, 0
204, valhelsia_structures:tower_ruin, HEADING, header:ignore, 0, 0, 0
205, valhelsia_structures:witch_hut, HEADING, header:ignore, 0, 0, 0
206, valhelsia_structures:witch_hut, MONSTER, minecraft:witch, 50, 1, 1
207, valhelsia_structures:witch_hut, CREATURE, minecraft:cat, 50, 1, 1
208, valhelsia_structures:big_tree, HEADING, header:ignore, 0, 0, 0
